"filename","subcorpus","code","huni.chars","hrate.chars","huni.strings","hrate.strings","ttr.chars","ttr.strings","rm.chars"
"shuffled_dna_0027","shuffled","dna_0027",1.95300330607881,1.67898787275454,0,0,0.004,1,0.301204819277108
"shuffled_dna_0028","shuffled","dna_0028",1.99745990961101,1.68735373912126,0,0,0.004,1,0.270080321285141
"shuffled_dna_0029","shuffled","dna_0029",1.93425260710943,1.65302230398147,0,0,0.004,1,0.285140562248996
"shuffled_dna_0030","shuffled","dna_0030",1.99100044007745,1.70974910653061,0,0,0.004,1,0.252008032128514
"shuffled_ela_0001","shuffled","ela_0001",4.0093460685861,3.21628927577413,5.59057108125987,4.14611839723367,0.0446096654275093,0.913793103448276,0.0894941634241245
"shuffled_ela_0002","shuffled","ela_0002",3.55223889549032,3.19401589110578,6.04874405432286,4.61809316221048,0.036231884057971,0.813725490196078,0.111278195488722
"shuffled_ell_0001","shuffled","ell_0001",5.04146432468412,4.13819885333815,6.51826152893355,5.20880870177558,0.071,0.842465753424658,0.0376749192680301
"shuffled_eng_0001","shuffled","eng_0001",4.14534436520363,3.74593268653597,6.74476282897562,5.3993168658499,0.031,0.832335329341317,0.0619195046439628
"shuffled_epo_0001","shuffled","epo_0001",4.14886065460062,3.77317484203112,6.32857237450116,5.17267954451393,0.032,0.769230769230769,0.0692148760330579
"shuffled_eus_0001","shuffled","eus_0001",4.23975966217575,3.66028290824773,6.09905623408549,4.81634985476836,0.041,0.805309734513274,0.0813347236704901
"shuffled_gaz_0001","shuffled","gaz_0001",4.2044219894689,3.65371245032285,6.05636648347434,4.84184978049809,0.036,0.785123966942149,0.0881742738589212
"shuffled_guj_0001","shuffled","guj_0001",4.6957022649476,4.23072899617348,6.38771260771311,5.01108015398127,0.048,0.789115646258503,0.0525210084033613
"shuffled_heb_0001","shuffled","heb_0001",4.18624709669083,3.6916300013938,6.42342449226136,5.07020520211723,0.031,0.771604938271605,0.0794633642930857
"shuffled_hin_0001","shuffled","hin_0001",4.73382446910269,4.41785497310871,6.53704988765179,5.19294697409118,0.052,0.78735632183908,0.0590717299578059
"shuffled_hye_0001","shuffled","hye_0001",4.55839382280358,3.84816681014909,6.5672254142019,5.21186931705722,0.048,0.906779661016949,0.0588235294117647
"shuffled_ibb_0001","shuffled","ibb_0001",4.06169007609488,3.68113965987718,6.49236009029087,5.18538866670826,0.033,0.764367816091954,0.0899689762150982
"shuffled_iii_0001","shuffled","iii_0001",6.71940708342504,5.24728359209912,1.58496250072116,0.861654166907052,0.22,1,0.0192307692307692
"shuffled_ike_0001","shuffled","ike_0001",5.19429496394981,4.11122558244328,6.22640629508449,4.93655782239844,0.06,0.897959183673469,0.0340425531914894
"shuffled_jav_0001","shuffled","jav_0001",4.57263316384803,4.4130632622251,2,1.14624062518029,0.038,1,0.0488565488565489
"shuffled_jav_0002","shuffled","jav_0002",4.18996846809293,3.63893985721515,6.31499828233701,4.97206813407999,0.037,0.813953488372093,0.0716510903426791
"shuffled_jpn_0001","shuffled","jpn_0001",6.79198736947971,5.39405161376547,0,0,0.253,1,0.0281124497991968
"shuffled_kal_0001","shuffled","kal_0001",3.87913599907975,3.26505926826283,5.76680291133338,4.36528457751148,0.028,0.934426229508197,0.0792181069958848
"shuffled_kan_0001","shuffled","kan_0001",4.76959387038698,4.40433113047512,6.23245832473715,4.86777918794524,0.047,0.921348314606742,0.0503672612801679
"shuffled_kat_0001","shuffled","kat_0001",4.22829543996312,3.60909734854662,6.19930004282786,4.85135301888063,0.034,0.828828828828829,0.0838509316770186
"shuffled_khm_0001","shuffled","khm_0001",5.08511026324938,4.54697727825659,5.4262647547021,4.01942265130878,0.059,1,0.0435706695005314
"shuffled_kkh_0001","shuffled","kkh_0001",4.93861786400081,5.07858569640172,4.88968018135462,3.48235050209898,0.054,0.967741935483871,0.0581395348837209
"shuffled_kor_0001","shuffled","kor_0001",6.09468145586405,4.99624225778505,6.53551747511591,5.48036109407183,0.198,0.756521739130435,0.0723192019950125
"shuffled_lao_0001","shuffled","lao_0001",5.24649586857276,4.40591705390871,4.95419631038688,3.4776174481783,0.051,1,0.0326659641728135
"shuffled_lug_0001","shuffled","lug_0001",4.42845728278998,3.82005638389783,6.36713289476554,4.95965708296616,0.044,0.897196261682243,0.0575313807531381
"shuffled_mal_0001","shuffled","mal_0001",4.7052133493453,4.70665266700092,5.93129958423247,4.44895644236166,0.053,0.929577464788732,0.0665258711721225
